SAMPLE_ID-REP-HARVEST,sample_id,rep,sample-indiv_har,id-rep,REAL_NAME,FM_PARENT,M_PARENT,DATE,SEASON HARVEST,INDIV. HARVEST,LOCATION,WEIGHT,LONGITUDE,LATITUDE,L*(D65),a*(D65),b*(D65),BRIX,ACIDITY,r,FIRMNESS,hue angle,chroma,AutoTitrator_Sample_size (g),Autotitration_VEQ1 (mL),Autotitration_EST (pH),BREAK POINT,Absolute Positive Force (g),Distance At Positive Force (mm),Absolute Positive Distance (mm),Peak Force (g),Positive Area (g/sec),Area To Absolute Positive Force (g/sec),Force at Target (g)
11-2-1,11,2,11-1,11-2,NC3920-2,ECHOTA,NC80-2-14,14-May,1,1,SH,0.8914,9.763,12.09,21.53,0.82,-2.78,11.3,0.48,23.54166667,167.9628783,-3.938469668,2.898413359,2,2.802,2.482,328.973,328.973,5.525,10.4,328.973,741.008,447.481,272.434
11-3-1,11,3,11-1,11-3,NC3920-3,ECHOTA,NC80-2-14,14-May,1,1,SH,1.0418,10.308,12.784,24.1,0.11,-2.69,11.5,0.4,28.75,162.730079,1.241185026,2.692248131,2.005,2.769,2.498,313.467,313.467,5.833,11.084,313.467,752.45,465.859,301.802
12-1-1,12,1,12-1,12-1,NC4625-1,NC 1768 , NC 1639,14-May,1,1,SH,0.7772,9.322,11.707,30.95,1.04,-5.52,9.4,0.77,12.20779221,214.0306803,0.677263923,5.617116698,2.003,5.6,2.21,403.949,403.949,7.071,9.949,368.034,1059.829,775.75,282.515
12-2-1,12,2,12-1,12-2,NC4625-2,NC 1768 , NC 1639,14-May,1,1,SH,0.8031,9.106,11.998,30.03,-0.33,-6.64,7.7,0.89,8.651685393,233.5299616,0.308394347,6.648195244,1.995,4.959,2.18,372.227,372.227,8.218,10.202,342.527,1083.165,857.294,343.198
12-3-1,12,3,12-1,12-3,NC4625-3,NC 1768 , NC 1639,14-May,1,1,SH,1.2383,11.153,13.755,26.82,-0.07,-5.31,12,0.46,26.08695652,182.607981,2.023868085,5.310461374,2.008,3.503,2.318,349.005,349.005,6.81,11.869,349.005,887.44,595.08,314.485
15-1-1,15,1,15-1,15-1,NC4122-1,US 137 , Echota,14-May,1,1,SH,1.7164,11.579,15.789,30.38,-0.31,-6.43,11.2,0.51,21.96078431,143.7211593,-0.333147434,6.437468447,2.001,3.106,2.339,312.358,312.358,6.242,13.771,312.358,855.961,506.987,299.661
15-2-1,15,2,15-1,15-2,NC4122-1,US 137 , Echota,14-May,1,1,SH,1.5763,11.492,15.195,30.85,-0.41,-6.33,11.3,0.47,24.04255319,147.9391712,-3.628235441,6.343264144,2.005,3.162,2.334,292.671,292.671,6.06,13.434,292.671,832.523,448.53,279.98
15-3-1,15,3,15-1,15-3,NC4122-3,US 137 , Echota,14-May,1,1,SH,1.556,11.395,15.19,30.01,-0.48,-6.65,11.5,0.45,25.55555556,158.6824437,0.2908055,6.667300803,2.005,2.913,2.403,333.258,333.258,6.561,13.31,333.258,919.054,576.568,250.836
16-1-1,16,1,16-1,16-1,NC4011-1,Chanticleer , NC 2874,14-May,1,1,SH,1.5708,10.678,15.518,29.28,-0.02,-5,13,0.6,21.66666667,168.4666502,-0.248306386,5.00004,2.008,3.521,2.381,314.637,314.637,6.317,13.594,314.637,889.871,521.248,281.475
16-2-1,16,2,16-1,16-2,NC4011-2,Chanticleer , NC 2874,14-May,1,1,SH,1.4007,10.901,14.63,30.86,-0.52,-5.96,12.3,0.41,30,148.3339637,-0.502899069,5.982641557,2.001,2.472,2.523,282.923,282.923,5.733,12.854,282.923,766.124,399.23,263.698
